account_id,is_written_off,is_unlocked,amount_paid,price_unlock,pct_paid
1,False,False,1900,8100,23.0
2,False,True,8100,8100,100.0
3,False,False,7661,8100,95.0
4,False,True,8100,8100,100.0
5,False,False,6743,8100,83.0
6,False,True,8100,8100,100.0
7,False,False,6930,8100,86.0
8,False,False,5217,8100,64.0
9,False,True,8100,8100,100.0
10,False,True,8100,8100,100.0
11,False,True,8100,8100,100.0
12,False,True,6100,6100,100.0
13,False,False,5640,6100,92.0
14,False,True,6100,6100,100.0
15,True,False,3224,6100,53.0
16,False,True,6100,6100,100.0
17,False,True,6034,6100,99.0
18,False,True,6100,6100,100.0
19,False,True,6030,6100,99.0
20,False,False,5693,6100,93.0
21,False,True,6100,6100,100.0
22,False,True,6100,6100,100.0
23,False,False,1970,5200,38.0
24,False,False,1984,5200,38.0
25,False,False,4957,5200,95.0
26,False,False,4807,5200,92.0
27,False,True,5200,5200,100.0
28,False,False,2249,5200,43.0
29,False,True,5200,5200,100.0
30,False,False,2066,5200,40.0
31,False,False,4489,5200,86.0
32,False,False,1879,5200,36.0
33,False,False,2056,5200,40.0
34,False,True,6100,6100,100.0
35,False,False,5550,6100,91.0
36,False,False,4215,6100,69.0
37,False,True,5546,6100,91.0
38,False,False,4995,6100,82.0
39,False,False,4807,6100,79.0
40,False,False,4924,6100,81.0
41,False,False,5094,6100,84.0
42,False,False,5491,6100,90.0
43,False,False,4800,6100,79.0
44,False,False,5147,6100,84.0
45,False,False,5557,6100,91.0
46,False,True,6100,6100,100.0
47,False,True,6100,6100,100.0
48,False,True,6100,6100,100.0
49,False,True,6100,6100,100.0
50,False,False,2200,6100,36.0
51,False,True,6100,6100,100.0
52,False,False,5662,6100,93.0
53,False,False,5768,6100,95.0
54,False,False,6588,6100,108.0
55,False,False,5351,6100,88.0
56,False,True,5500,5500,100.0
57,False,False,4482,5500,81.0
58,False,False,5744,5500,104.0
59,False,True,5500,5500,100.0
60,False,False,5090,5500,93.0
61,False,True,5500,5500,100.0
62,False,True,5500,5500,100.0
63,False,False,5261,5500,96.0
64,False,True,5500,5500,100.0
65,False,True,5500,5500,100.0
66,False,False,1961,5500,36.0
67,False,False,5027,6100,82.0
68,False,False,5639,6100,92.0
69,False,False,2204,6100,36.0
70,False,False,4818,6100,79.0
71,False,False,1750,6100,29.0
72,False,False,4213,6100,69.0
73,False,False,5717,6100,94.0
74,False,True,6100,6100,100.0
75,False,True,6100,6100,100.0
76,False,True,6100,6100,100.0
77,False,False,5166,6100,85.0
78,True,False,1497,6100,25.0
79,False,True,6100,6100,100.0
80,False,True,6100,6100,100.0
81,False,False,5595,6100,92.0
82,False,True,6100,6100,100.0
83,False,False,4824,6100,79.0
84,False,False,1800,6100,30.0
85,False,True,6100,6100,100.0
86,False,False,2394,6100,39.0
87,False,True,6100,6100,100.0
88,False,False,5550,14900,37.0
89,False,False,14152,14900,95.0
90,False,True,14900,14900,100.0
91,False,False,5550,14900,37.0
92,False,True,14373,14900,96.0
93,False,True,14900,14900,100.0
94,False,False,14800,14900,99.0
95,False,True,14238,14900,96.0
96,False,False,13434,14900,90.0
97,False,True,14900,14900,100.0
98,False,True,14900,14900,100.0
99,False,False,10889,14900,73.0
100,False,True,14900,14900,100.0
101,False,False,12602,14900,85.0
102,False,False,13672,14900,92.0
103,False,True,14900,14900,100.0
104,False,False,14219,14900,95.0
105,False,False,13474,14900,90.0
106,False,True,14900,14900,100.0
107,False,True,14787,14900,99.0
108,False,False,5597,14900,38.0
109,False,False,6011,6300,95.0
110,False,False,5749,6300,91.0
111,False,False,5627,6300,89.0
112,False,False,2660,6300,42.0
113,False,False,5258,6300,83.0
114,False,False,5894,6300,94.0
115,False,False,5659,6300,90.0
116,False,True,6300,6300,100.0
117,False,False,1800,6300,29.0
118,False,True,6300,6300,100.0
119,False,True,6300,6300,100.0
120,False,False,4862,6100,80.0
121,False,False,5672,6100,93.0
122,False,False,5079,6100,83.0
123,False,False,5782,6100,95.0
124,False,True,6100,6100,100.0
125,False,True,6100,6100,100.0
126,False,True,6100,6100,100.0
127,False,True,6100,6100,100.0
128,False,False,5434,6100,89.0
129,False,False,2203,6100,36.0
130,False,True,6100,6100,100.0
131,False,True,6100,6100,100.0
132,False,False,5388,6100,88.0
133,False,True,6100,6100,100.0
134,False,True,6100,6100,100.0
135,False,False,6039,6100,99.0
136,False,True,6100,6100,100.0
137,False,True,6100,6100,100.0
138,False,False,6032,6100,99.0
139,False,True,6100,6100,100.0
140,False,False,5369,6100,88.0
141,False,True,6100,6100,100.0
142,False,False,5787,6100,95.0
143,False,False,5859,6100,96.0
144,False,False,5615,6100,92.0
145,False,True,6100,6100,100.0
146,False,False,3242,6100,53.0
147,False,True,6100,6100,100.0
148,False,True,6100,6100,100.0
149,False,True,6100,6100,100.0
150,False,True,6100,6100,100.0
151,False,False,5747,6100,94.0
152,False,True,6100,6100,100.0
153,False,False,6096,6100,100.0
154,False,False,6114,6100,100.0
155,False,True,6100,6100,100.0
156,False,False,5580,6100,91.0
157,False,False,6089,6100,100.0
158,False,True,6100,6100,100.0
159,False,True,6100,6100,100.0
160,False,True,6100,6100,100.0
161,False,True,6100,6100,100.0
162,False,False,5628,6100,92.0
163,False,True,8865,9200,96.0
164,False,False,8080,9200,88.0
165,False,True,9175,9200,100.0
166,False,False,8116,9200,88.0
167,False,False,8604,9200,94.0
168,False,False,8785,9200,95.0
169,False,False,7757,9200,84.0
170,False,True,8874,9200,96.0
171,False,False,8756,9200,95.0
172,False,False,8304,9200,90.0
173,True,False,4771,9200,52.0
174,False,True,9200,9200,100.0
175,False,False,4465,9200,49.0
176,False,False,8449,9200,92.0
177,False,False,8949,9200,97.0
178,False,False,8316,9200,90.0
179,False,False,4627,9200,50.0
180,False,True,9200,9200,100.0
181,False,False,8925,9200,97.0
